CGTN俄语,rtp://239.11.0.82:5140
CGTN记录,rtp://239.11.0.138:5140
CGTN英语,rtp://239.11.0.245:5140
北京卫视,rtp://239.11.0.121:5140
河北卫视,rtp://239.11.0.31:5140
东方卫视,rtp://239.11.0.68:5140
湖南卫视,rtp://239.11.0.119:5140
黑龙江卫视,rtp://239.11.0.36:5140
吉林卫视,rtp://239.11.0.35:5140
江西卫视,rtp://239.11.0.42:5140
东南卫视,rtp://239.11.0.41:5140
河南卫视,rtp://239.11.0.44:5140
浙江卫视,rtp://239.11.0.70:5140
深圳卫视,rtp://239.11.0.71:5140
山东卫视,rtp://239.11.0.73:5140
湖北卫视,rtp://239.11.0.74:5140
江苏卫视,rtp://239.11.0.76:5140
四川卫视,rtp://239.11.0.78:5140
广东卫视,rtp://239.11.0.115:5140
广西卫视,rtp://239.11.0.48:5140
贵州卫视,rtp://239.11.0.51:5140
甘肃卫视,rtp://239.11.0.55:5140
重庆卫视,rtp://239.11.0.116:5140
安徽卫视,rtp://239.11.0.117:5140
辽宁卫视,rtp://239.11.0.118:5140
天津卫视,rtp://239.11.0.123:5140
山西卫视,rtp://239.11.0.32:5140
云南卫视,rtp://239.11.0.52:5140
西藏卫视,rtp://239.11.0.53:5140
陕西卫视,rtp://239.11.0.54:5140
青海卫视,rtp://239.11.0.56:5140
宁夏卫视,rtp://239.11.0.57:5140
新疆卫视,rtp://239.11.0.58:5140
内蒙古卫视,rtp://239.11.0.33:5140
兵团卫视,rtp://239.11.0.204:5140
延边卫视,rtp://239.11.0.206:5140
海南卫视,rtp://239.11.0.193:5140
安多卫视,rtp://239.11.0.124:5140
山东教育,rtp://239.11.0.140:5140
厦门卫视,rtp://239.11.0.83:5140
三沙卫视,rtp://239.11.0.84:5140
四川观察,rtp://239.11.0.136:5140
四川观察,rtp://239.11.0.137:5140
四川观察,rtp://239.11.0.138:5140
四川观察,rtp://239.11.0.139:5140
四川观察,rtp://239.11.0.140:5140
四川文化,rtp://239.11.0.3:5140
四川乡村,rtp://239.11.0.4:5140
四川经济,rtp://239.11.0.2:5140
四川新闻,rtp://239.11.0.5:5140
四川影视,rtp://239.11.0.77:5140
四川妇女,rtp://239.11.0.8:5140
四川科教,rtp://239.11.0.194:5140
康巴卫视,rtp://239.11.0.10:5140
峨眉电影,rtp://239.11.0.11:5140
达州新闻,rtp://239.10.0.54:5140
达州文化生活,rtp://239.10.0.55:5140
成都综合,rtp://239.10.0.11:5140
成都经济,rtp://239.10.0.12:5140
成都生活,rtp://239.10.0.13:5140
成都影视,rtp://239.10.0.14:5140
成都公共,rtp://239.10.0.15:5140
成都少儿,rtp://239.10.0.16:5140
成都购物,rtp://239.10.0.33:5140
泸州新闻,rtp://239.10.0.46:5140
泸州科教,rtp://239.10.0.48:5140
阿坝汉语,rtp://239.10.0.50:5140
阿坝藏语,rtp://239.10.0.51:5140
巴中综合,rtp://239.10.0.52:5140
巴中文旅,rtp://239.10.0.53:5140
德阳新闻综合,rtp://239.10.0.56:5140
德阳文旅科教,rtp://239.10.0.57:5140
广安新闻,rtp://239.10.0.58:5140
广安公共,rtp://239.10.0.59:5140
广元综合,rtp://239.10.0.60:5140
广元文化,rtp://239.10.0.61:5140
乐山新闻,rtp://239.10.0.62:5140
乐山文旅,rtp://239.10.0.63:5140
凉山新闻综合,rtp://239.10.0.64:5140
凉山彝语综合,rtp://239.10.0.65:5140
眉山综合,rtp://239.10.0.66:5140
眉山公共,rtp://239.10.0.67:5140
眉山综合,rtp://239.10.0.66:5140
南充综合,rtp://239.10.0.68:5140
南充科教,rtp://239.10.0.70:5140
内江综合,rtp://239.10.0.71:5140
内江科教,rtp://239.10.0.73:5140
攀枝花新闻,rtp://239.10.0.74:5140
遂宁综合,rtp://239.10.0.76:5140
遂宁文旅,rtp://239.10.0.77:5140
雅安新闻,rtp://239.10.0.78:5140
雅安公共,rtp://239.10.0.79:5140
宜宾新闻,rtp://239.10.0.80:5140
宜宾公共,rtp://239.10.0.81:5140
资阳新闻,rtp://239.10.0.82:5140
自贡综合,rtp://239.10.0.83:5140
自贡文化,rtp://239.10.0.84:5140
绵阳新闻,rtp://239.10.0.96:5140
绵阳科技,rtp://239.10.0.98:5140
康定综合,rtp://239.10.0.30:5140
甘孜综合,rtp://239.10.0.32:5140
稻城电视台,rtp://239.10.0.29:5140
CHC家庭影院,rtp://239.10.0.86:5140
CHC动作电影,rtp://239.10.0.87:5140
CHC影迷电影,rtp://239.10.0.88:5140
Channel[V],rtp://239.11.0.155:5140
金鹰纪实,rtp://239.10.0.193:5140
先锋乒羽,rtp://239.10.0.90:5140
中国交通,rtp://239.10.0.143:5140
财富天下,rtp://239.10.0.182:5140
求索记录,rtp://239.10.0.221:5140
睛彩青少,rtp://239.10.0.130:5140
睛彩广场舞,rtp://239.10.0.131:5140
睛彩竞技,rtp://239.10.0.224:5140
睛彩篮球,rtp://239.11.0.122:5140
IPTV热播剧场,rtp://239.10.0.121:5140
IPTV经典电影,rtp://239.10.0.122:5140
IPTV谍战剧场,rtp://239.10.0.123:5140
IPTV城市剧场,rtp://239.10.0.124:5140
IPTV军旅剧场,rtp://239.10.0.125:5140
IPTV古装剧场,rtp://239.10.0.126:5140
IPTV家庭影院,rtp://239.10.0.127:5140
IPTV喜剧影院,rtp://239.10.0.132:5140
IPTV武侠剧场,rtp://239.10.0.133:5140
IPTV戏曲,rtp://239.10.0.150:5140
IPTV光影,rtp://239.10.0.153:5140
IPTV星影,rtp://239.10.0.156:5140
IPTV高网,rtp://239.10.0.164:5140
IPTV国学,rtp://239.10.0.186:5140
IPTV地理,rtp://239.10.0.190:5140
IPTV体育,rtp://239.11.0.234:5140
咪咕视频1,rtp://239.10.0.232:5140
咪咕视频2,rtp://239.10.0.233:5140
咪咕视频3,rtp://239.10.0.234:5140
咪咕视频4,rtp://239.10.0.235:5140
咪咕视频5,rtp://239.10.0.236:5140
咪咕视频6,rtp://239.10.0.237:5140
咪咕视频7,rtp://239.10.0.238:5140
咪咕视频8,rtp://239.10.0.17:5140
咪咕视频9,rtp://239.10.0.18:5140
咪咕视频10,rtp://239.10.0.20:5140
咪咕视频11,rtp://239.10.0.21:5140
咪咕视频12,rtp://239.10.0.22:5140
咪咕视频13,rtp://239.10.0.23:5140
咪咕视频14,rtp://239.10.0.24:5140
咪咕视频15,rtp://239.10.0.25:5140
咪咕视频16,rtp://239.10.0.26:5140
咪咕视频17,rtp://239.10.0.27:5140
咪咕视频18,rtp://239.10.0.28:5140
咪咕视频19,rtp://239.10.0.19:5140
咪咕视频20,rtp://239.10.0.40:5140
咪咕视频21,rtp://239.10.0.41:5140
咪咕视频22,rtp://239.10.0.42:5140
咪咕视频23,rtp://239.10.0.43:5140
咪咕视频24,rtp://239.10.0.44:5140
咪咕视频25,rtp://239.10.0.45:5140
咪咕视频26,rtp://239.10.0.239:5140
新动漫,rtp://239.10.0.89:5140
新动漫,rtp://239.10.0.159:5140
金鹰卡通,rtp://239.11.0.127:5140
卡酷少儿,rtp://239.11.0.129:5140
嘉佳卡通,rtp://239.11.0.203:5140
优漫卡通,rtp://239.11.0.63:5140
IPTV动画,rtp://239.10.0.163:5140
四川星空购物,rtp://239.11.0.125:5140
央广购物,rtp://239.10.0.200:5140
时尚购物,rtp://239.10.0.225:5140
家有购物,rtp://239.10.0.226:5140
优购物,rtp://239.10.0.227:5140
聚鲨好物推荐,rtp://239.10.0.228:5140
风尚购物高清,rtp://239.10.0.230:5140
家有购物高清,rtp://239.10.0.231:5140
