更新时间: 2025-11-25 03:23:20（北京时间）

更新时间,#genre#
2025-11-25 03:23:20,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV5+,http://113.110.203.130:55555/rtp/239.77.0.87:5146$广东电信
CCTV5+,http://113.110.203.130:55555/rtp/239.77.1.31:5146$广东电信
CCTV5+,http://111.227.41.176:7000/rtp/239.254.200.46:8004$河北省电信
CCTV5+,http://113.25.107.142:10000/rtp/239.1.1.12:8012$山西电信
CCTV5+,http://183.30.202.8:8000/rtp/239.77.0.87:5146$广东电信
CCTV5+,http://183.30.202.8:8000/rtp/239.77.1.31:5146$广东电信
CCTV5+,http://116.30.248.183:9876/rtp/239.77.0.87:5146$广东电信
CCTV5+,http://116.30.248.183:9876/rtp/239.77.1.31:5146$广东电信
CCTV6,http://121.56.186.21:4022/rtp/239.29.1.135:5000$内蒙古电信
CCTV6,http://116.30.248.139:9876/rtp/239.77.0.171:5146$广东电信
CCTV6,http://116.30.248.139:9876/rtp/239.77.1.9:5146$广东电信
CCTV6,http://180.117.136.123:55555/rtp/239.49.8.76:8000$江苏电信
CCTV6,http://113.110.203.130:55555/rtp/239.77.0.171:5146$广东电信
CCTV6,http://113.110.203.130:55555/rtp/239.77.1.9:5146$广东电信
CCTV6,http://111.227.41.176:7000/rtp/239.254.201.154:7207$河北省电信
CCTV6,http://180.159.98.21:10001/rtp/239.45.1.70:5140$上海市电信
CCTV6,http://113.25.107.142:10000/rtp/239.1.1.13:8013$山西电信
CCTV6,http://183.30.202.8:8000/rtp/239.77.0.171:5146$广东电信
CCTV6,http://183.30.202.8:8000/rtp/239.77.1.9:5146$广东电信
CCTV6,http://116.30.248.183:9876/rtp/239.77.0.171:5146$广东电信
CCTV6,http://116.30.248.183:9876/rtp/239.77.1.9:5146$广东电信
CCTV7,http://121.56.186.21:4022/rtp/239.29.0.117:5000$内蒙古电信
CCTV7,http://116.30.248.139:9876/rtp/239.77.0.138:5146$广东电信
CCTV7,http://116.30.248.139:9876/rtp/239.77.1.159:5146$广东电信
CCTV7,http://180.117.136.123:55555/rtp/239.49.0.126:8000$江苏电信
CCTV7,http://113.110.203.130:55555/rtp/239.77.0.138:5146$广东电信
CCTV7,http://113.110.203.130:55555/rtp/239.77.1.159:5146$广东电信
CCTV7,http://111.227.41.176:7000/rtp/239.254.200.159:6000$河北省电信
CCTV7,http://180.159.98.21:10001/rtp/239.45.3.56:5140$上海市电信
CCTV7,http://113.25.107.142:10000/rtp/239.1.1.14:8014$山西电信
CCTV7,http://183.30.202.8:8000/rtp/239.77.0.138:5146$广东电信
CCTV7,http://183.30.202.8:8000/rtp/239.77.1.159:5146$广东电信
CCTV7,http://116.30.248.183:9876/rtp/239.77.0.138:5146$广东电信
CCTV7,http://116.30.248.183:9876/rtp/239.77.1.159:5146$广东电信
CCTV8,http://121.56.186.21:4022/rtp/239.29.1.136:5000$内蒙古电信
CCTV8,http://116.30.248.139:9876/rtp/239.77.0.172:5146$广东电信
CCTV8,http://116.30.248.139:9876/rtp/239.77.1.10:5146$广东电信
CCTV8,http://180.117.136.123:55555/rtp/239.49.8.77:8000$江苏电信
CCTV8,http://113.110.203.130:55555/rtp/239.77.0.172:5146$广东电信
CCTV8,http://113.110.203.130:55555/rtp/239.77.1.10:5146$广东电信
CCTV8,http://111.227.41.176:7000/rtp/239.254.201.155:7208$河北省电信
CCTV8,http://180.159.98.21:10001/rtp/239.45.1.71:5140$上海市电信
CCTV8,http://113.25.107.142:10000/rtp/239.1.1.15:8015$山西电信
CCTV8,http://183.30.202.8:8000/rtp/239.77.0.172:5146$广东电信
CCTV8,http://183.30.202.8:8000/rtp/239.77.1.10:5146$广东电信
CCTV8,http://116.30.248.183:9876/rtp/239.77.0.172:5146$广东电信
CCTV8,http://116.30.248.183:9876/rtp/239.77.1.10:5146$广东电信
CCTV9,http://121.56.186.21:4022/rtp/239.29.0.118:5000$内蒙古电信
CCTV9,http://116.30.248.139:9876/rtp/239.77.0.135:5146$广东电信
CCTV9,http://116.30.248.139:9876/rtp/239.77.1.160:5146$广东电信
CCTV9,http://180.117.136.123:55555/rtp/239.49.8.53:9814$江苏电信
CCTV9,http://113.110.203.130:55555/rtp/239.77.0.135:5146$广东电信
CCTV9,http://113.110.203.130:55555/rtp/239.77.1.160:5146$广东电信
CCTV9,http://111.227.41.176:7000/rtp/239.254.200.59:8112$河北省电信
CCTV9,http://180.159.98.21:10001/rtp/239.45.3.4:5140$上海市电信
CCTV9,http://113.25.107.142:10000/rtp/239.1.1.16:8016$山西电信
CCTV9,http://183.30.202.8:8000/rtp/239.77.0.135:5146$广东电信
CCTV9,http://183.30.202.8:8000/rtp/239.77.1.160:5146$广东电信
CCTV9,http://116.30.248.183:9876/rtp/239.77.0.135:5146$广东电信
CCTV9,http://116.30.248.183:9876/rtp/239.77.1.160:5146$广东电信
CCTV10,http://121.56.186.21:4022/rtp/239.29.0.119:5000$内蒙古电信
CCTV10,http://116.30.248.139:9876/rtp/239.77.0.134:5146$广东电信
CCTV10,http://116.30.248.139:9876/rtp/239.77.1.113:5146$广东电信
CCTV10,http://180.117.136.123:55555/rtp/239.49.8.54:9818$江苏电信
CCTV10,http://113.110.203.130:55555/rtp/239.77.0.134:5146$广东电信
CCTV10,http://113.110.203.130:55555/rtp/239.77.1.113:5146$广东电信
CCTV10,http://111.227.41.176:7000/rtp/239.254.200.160:6000$河北省电信
CCTV10,http://180.159.98.21:10001/rtp/239.45.3.8:5140$上海市电信
CCTV10,http://113.25.107.142:10000/rtp/239.1.1.17:8017$山西电信
CCTV10,http://183.30.202.8:8000/rtp/239.77.0.134:5146$广东电信
CCTV10,http://183.30.202.8:8000/rtp/239.77.1.113:5146$广东电信
CCTV10,http://116.30.248.183:9876/rtp/239.77.0.134:5146$广东电信
CCTV10,http://116.30.248.183:9876/rtp/239.77.1.113:5146$广东电信
CCTV11,http://121.56.186.21:4022/rtp/239.29.0.205:5000$内蒙古电信
CCTV11,http://116.30.248.139:9876/rtp/239.77.1.108:5146$广东电信
CCTV11,http://116.30.248.139:9876/rtp/239.77.1.238:5146$广东电信
CCTV11,http://180.117.136.123:55555/rtp/239.49.0.127:8000$江苏电信
CCTV11,http://113.110.203.130:55555/rtp/239.77.1.108:5146$广东电信
CCTV11,http://113.110.203.130:55555/rtp/239.77.1.238:5146$广东电信
CCTV11,http://111.227.41.176:7000/rtp/239.254.201.123:8120$河北省电信
